Word	Cluster
</s>	197
the	427
of	247
to	41
a	383
that	188
and	335
in	322
not	400
is	383
for	190
court	261
at	403
on	95
was	47
as	485
or	459
by	427
an	78
it	188
this	188
with	206
be	34
we	360
district	242
from	340
his	196
under	104
its	293
see	252
have	34
he	196
which	427
are	247
had	47
would	400
state	370
any	171
because	368
cir	252
no	360
case	64
has	388
d	252
law	483
id	250
were	164
states	121
if	34
evidence	167
claim	496
did	395
but	188
also	403
whether	257
may	400
united	121
other	247
claims	496
their	134
judgment	242
such	34
when	404
only	188
federal	370
her	196
they	134
does	400
action	223
all	247
there	34
been	47
act	104
must	400
section	104
defendant	100
order	242
one	247
plaintiff	496
first	277
can	400
trial	50
against	223
could	400
decision	232
rule	483
b	104
i	468
issue	129
plaintiffs	202
after	47
than	430
motion	406
review	261
these	247
appeal	261
government	372
where	368
who	134
time	141
so	34
defendants	492
however	188
she	196
statute	104
do	400
before	47
more	34
agreement	60
two	319
new	133
will	400
those	247
should	400
right	171
even	34
fact	167
parties	43
made	164
jurisdiction	261
our	64
based	200
filed	346
jury	50
circuit	64
party	146
judge	105
public	98
here	188
supreme	64
without	171
held	301
complaint	148
thus	368
contract	60
reasonable	360
between	247
him	196
summary	117
part	190
use	340
found	301
rights	171
question	129
policy	201
both	247
counsel	341
amendment	278
same	247
interest	98
opinion	105
within	155
into	404
about	468
city	166
conduct	299
therefore	368
record	167
courts	483
argument	455
required	400
cases	483
over	388
attorney	26
some	460
process	365
matter	261
then	47
second	277
upon	171
board	86
c	104
plan	471
class	202
further	5
facts	167
while	404
relief	413
appeals	242
general	106
application	478
property	278
what	169
damages	413
out	404
information	357
during	47
although	5
alleged	231
congress	311
support	167
them	41
failed	395
standard	483
t	466
notice	364
hearing	448
agency	409
finding	232
petition	406
arbitration	331
prior	47
omitted	326
legal	144
subject	106
cause	496
due	75
denied	390
fees	339
stated	128
testimony	385
each	247
basis	200
violation	325
discretion	77
provision	104
statutory	104
make	419
rather	188
authority	77
person	459
shall	104
argues	231
provide	419
county	272
provided	417
holding	64
sentence	165
conclusion	232
language	398
proceedings	242
services	38
including	155
clear	360
california	370
circumstances	187
liability	496
suit	223
concluded	301
supra	486
entitled	321
through	404
ii	350
relevant	257
clause	401
analysis	483
result	361
code	104
insurance	201
work	184
three	319
apply	219
failure	395
used	155
constitutional	76
amount	207
service	283
majority	334
th	486
pursuant	104
consider	257
officer	28
granted	390
conclude	457
provides	104
need	400
error	121
determine	257
civil	104
benefits	443
school	353
individual	134
award	339
determination	232
affirmed	242
own	206
terms	60
given	34
years	465
bankruptcy	495
issues	129
decided	172
set	139
substantial	167
requirement	483
well	460
defense	31
employee	184
present	419
business	475
actions	223
company	475
effect	158
statement	359
quoting	252
department	86
criminal	236
petitioner	32
particular	247
period	141
purpose	46
regarding	292
final	261
another	459
judicial	78
sufficient	400
find	457
medical	81
administrative	78
noted	128
employees	184
reasons	187
immunity	76
costs	220
us	129
police	28
added	245
injury	496
requires	400
clearly	76
you	468
either	171
nor	25
most	34
different	247
might	400
denial	390
internal	326
provisions	104
officers	28
respect	247
purposes	104
show	420
established	76
considered	257
litigation	7
certain	106
necessary	400
e	371
specific	247
report	357
applied	301
limited	155
rules	104
duty	249
grant	390
appropriate	360
intent	41
pay	489
interpretation	398
requirements	365
third	277
request	417
cal	486
following	47
being	205
sentencing	165
position	184
bank	111
title	104
light	257
material	389
employment	184
commission	280
burden	430
abuse	291
members	134
conviction	96
dispute	263
reason	27
term	485
remand	242
power	77
presented	167
health	38
settlement	43
establish	420
determined	301
child	342
challenge	261
later	47
testified	230
require	219
accordingly	163
favor	242
iii	350
received	417
emphasis	145
point	441
offense	236
letter	119
otherwise	171
several	319
appellants	492
address	129
factual	167
specifically	5
properly	261
statements	357
sought	223
test	483
protection	330
available	62
date	141
regulations	104
instead	188
re	252
itself	188
standing	434
additional	314
agree	457
de	363
explained	128
until	47
appellant	172
violated	325
least	319
how	468
procedure	104
regulation	104
private	106
never	47
brought	223
intended	400
dismissal	117
said	468
amended	133
simply	188
now	261
proceeding	448
citing	252
limitations	141
context	483
since	47
original	245
decisions	232
hold	457
employer	248
issued	417
factors	187
discrimination	248
actual	54
program	365
take	419
doctrine	483
entered	242
fraud	389
marks	453
quotation	486
form	243
ins	252
breach	496
contends	231
speech	381
personal	74
merits	261
days	465
laws	365
common	247
patent	423
erred	291
like	468
removal	271
home	362
exercise	388
local	463
related	247
dismissed	117
care	93
similar	247
findings	232
system	365
unless	171
place	488
meaning	398
bia	32
affirm	457
generally	36
history	295
number	319
view	483
less	437
contrary	360
york	370
involved	164
lack	388
direct	251
though	188
allegations	148
way	468
neither	444
control	150
benefit	443
applies	155
enforcement	106
payment	296
national	111
up	404
s	266
course	206
according	292
means	485
life	258
drug	174
corporation	475
habeas	332
interests	98
ruling	232
office	86
dismiss	117
determining	257
